0.11	0.00
0.12	857.17
0.13	923.09
0.13	947.38
0.14	960.01
0.15	967.75
0.16	972.98
0.17	976.75
0.17	979.60
0.18	981.82
0.19	983.61
0.20	985.08
0.21	986.30
0.21	987.34
0.22	988.24
0.23	989.01
0.24	989.69
0.25	990.29
0.25	990.83
0.26	991.31
0.27	991.74
0.28	992.13
0.29	992.48
0.29	992.81
0.30	993.11
0.31	993.38
0.32	993.63
0.33	993.87
0.33	994.08
0.34	994.29
0.35	994.48
0.36	994.65
0.37	994.82
0.37	994.98
0.38	995.12
0.39	995.26
0.40	995.39
0.41	995.52
0.41	995.63
0.42	995.75
0.43	995.85
0.44	995.95
0.45	996.05
0.45	996.14
0.46	996.23
0.47	996.31
0.48	996.39
0.49	996.47
0.49	996.54
0.50	996.61
0.51	996.68
0.52	996.74
0.53	996.81
0.53	996.87
0.54	996.92
0.55	996.98
0.56	997.03
0.57	997.09
0.57	997.14
0.58	997.18
0.59	997.23
0.60	997.28
0.61	997.32
0.61	997.36
0.62	997.40
0.63	997.44
0.64	997.48
0.65	997.52
0.65	997.56
0.66	997.59
0.67	997.63
0.68	997.66
0.69	997.69
0.69	997.72
0.70	997.75
0.71	997.78
0.72	997.81
0.73	997.84
0.73	997.87
0.74	997.90
0.75	997.92
0.76	997.95
0.77	997.97
0.77	998.00
0.78	998.02
0.79	998.04
0.80	998.07
0.81	998.09
0.81	998.11
0.82	998.13
0.83	998.15
0.84	998.17
0.85	998.19
0.85	998.21
0.86	998.23
0.87	998.25
0.88	998.27
0.89	998.29
0.89	998.30
0.90	998.32
0.91	998.34
0.92	998.35
0.93	998.37
0.93	998.38
0.94	998.40
0.95	998.42
0.96	998.43
0.97	998.45
0.97	998.46
0.98	998.47
0.99	998.49
1.00	998.50
1.01	998.51
1.01	998.53
1.02	998.54
1.03	998.55
1.04	998.57
1.05	998.58
1.05	998.59
1.06	998.60
1.07	998.61
1.08	998.62
1.09	998.64
1.09	998.65
1.10	998.66
1.11	998.67
1.12	998.68
1.13	998.69
1.13	998.70
1.14	998.71
1.15	998.72
1.16	998.73
1.17	998.74
1.17	998.75
1.18	998.76
1.19	998.77
1.20	998.78
1.21	998.79
1.21	998.79
1.22	998.80
1.23	998.81
1.24	998.82
1.25	998.83
1.25	998.84
1.26	998.84
1.27	998.85
1.28	998.86
1.29	998.87
1.29	998.88
1.30	998.88
1.31	998.89
1.32	998.90
1.33	998.90
1.33	998.91
1.34	998.92
1.35	998.93
1.36	998.93
1.37	998.94
1.37	998.95
1.38	998.95
1.39	998.96
1.40	998.97
1.41	998.97
1.41	998.98
1.42	998.99
1.43	998.99
1.44	999.00
1.45	999.00
1.45	999.01
1.46	999.02
1.47	999.02
1.48	999.03
1.49	999.03
1.49	999.04
1.50	999.04
1.51	999.05
1.52	999.05
1.53	999.06
1.53	999.06
1.54	999.07
1.55	999.08
1.56	999.08
1.57	999.09
1.57	999.09
1.58	999.10
1.59	999.10
1.60	999.10
1.61	999.11
1.61	999.11
1.62	999.12
1.63	999.12
1.64	999.13
1.65	999.13
1.65	999.14
1.66	999.14
1.67	999.15
1.68	999.15
1.69	999.15
1.69	999.16
1.70	999.16
1.71	999.17
1.72	999.17
1.73	999.18
1.73	999.18
1.74	999.18
1.75	999.19
1.76	999.19
1.77	999.20
1.77	999.20
1.78	999.20
1.79	999.21
1.80	999.21
1.81	999.21
1.81	999.22
1.82	999.22
1.83	999.23
1.84	999.23
1.85	999.23
1.85	999.24
1.86	999.24
1.87	999.24
1.88	999.25
1.89	999.25
1.89	999.25
1.90	999.26
1.91	999.26
1.92	999.26
1.93	999.27
1.93	999.27
1.94	999.27
1.95	999.28
1.96	999.28
1.97	999.28
1.97	999.29
1.98	999.29
1.99	999.29
2.00	999.29
2.01	999.30
2.01	999.30
2.02	999.30
2.03	999.31
2.04	999.31
2.05	999.31
2.05	999.31
2.06	999.32
2.07	999.32
2.08	999.32
2.09	999.33
2.09	999.33
2.10	999.33
2.11	999.33
2.12	999.34
2.13	999.34
2.13	999.34
2.14	999.34
2.15	999.35
2.16	999.35
2.17	999.35
2.17	999.35
2.18	999.36
2.19	999.36
2.20	999.36
2.21	999.36
2.21	999.37
2.22	999.37
2.23	999.37
2.24	999.37
2.25	999.38
2.25	999.38
2.26	999.38
2.27	999.38
2.28	999.39
2.29	999.39
2.29	999.39
2.30	999.39
2.31	999.39
2.32	999.40
2.33	999.40
2.33	999.40
2.34	999.40
2.35	999.41
2.36	999.41
2.37	999.41
2.37	999.41
2.38	999.41
2.39	999.42
2.40	999.42
2.41	999.42
2.41	999.42
2.42	999.42
2.43	999.43
2.44	999.43
2.45	999.43
2.45	999.43
2.46	999.43
2.47	999.44
2.48	999.44
2.49	999.44
2.49	999.44
2.50	999.44
2.51	999.44
2.52	999.45
2.53	999.45
2.53	999.45
2.54	999.45
2.55	999.45
2.56	999.46
2.57	999.46
2.57	999.46
2.58	999.46
2.59	999.46
2.60	999.46
2.61	999.47
2.61	999.47
2.62	999.47
2.63	999.47
2.64	999.47
2.65	999.47
2.65	999.48
2.66	999.48
2.67	999.48
2.68	999.48
2.69	999.48
2.69	999.48
2.70	999.49
2.71	999.49
2.72	999.49
2.73	999.49
2.73	999.49
2.74	999.49
2.75	999.50
2.76	999.50
2.77	999.50
2.77	999.50
2.78	999.50
2.79	999.50
2.80	999.50
2.81	999.51
2.81	999.51
2.82	999.51
2.83	999.51
2.84	999.51
2.85	999.51
2.85	999.51
2.86	999.52
2.87	999.52
2.88	999.52
2.89	999.52
2.89	999.52
2.90	999.52
2.91	999.52
2.92	999.53
2.93	999.53
2.93	999.53
2.94	999.53
2.95	999.53
2.96	999.53
2.97	999.53
2.97	999.53
2.98	999.54
2.99	999.54
3.00	999.54
3.01	999.54
3.01	999.54
3.02	999.54
3.03	999.54
3.04	999.54
3.05	999.55
3.05	999.55
3.06	999.55
3.07	999.55
3.08	999.55
3.09	999.55
3.09	999.55
3.10	999.55
3.11	999.56
3.12	999.56
3.13	999.56
3.13	999.56
3.14	999.56
3.15	999.56
3.16	999.56
3.17	999.56
3.17	999.57
3.18	999.57
3.19	999.57
3.20	999.57
3.21	999.57
3.21	999.57
3.22	999.57
3.23	999.57
3.24	999.57
3.25	999.58
3.25	999.58
3.26	999.58
3.27	999.58
3.28	999.58
3.29	999.58
3.29	999.58
3.30	999.58
3.31	999.58
3.32	999.58
3.33	999.59
3.33	999.59
3.34	999.59
3.35	999.59
3.36	999.59
3.37	999.59
3.37	999.59
3.38	999.59
3.39	999.59
3.40	999.59
3.41	999.60
3.41	999.60
3.42	999.60
3.43	999.60
3.44	999.60
3.45	999.60
3.45	999.60
3.46	999.60
3.47	999.60
3.48	999.60
3.49	999.61
3.49	999.61
3.50	999.61
3.51	999.61
3.52	999.61
3.53	999.61
3.53	999.61
3.54	999.61
3.55	999.61
3.56	999.61
3.57	999.61
3.57	999.62
3.58	999.62
3.59	999.62
3.60	999.62
3.61	999.62
3.61	999.62
3.62	999.62
3.63	999.62
3.64	999.62
3.65	999.62
3.65	999.62
3.66	999.62
3.67	999.63
3.68	999.63
3.69	999.63
3.69	999.63
3.70	999.63
3.71	999.63
3.72	999.63
3.73	999.63
3.73	999.63
3.74	999.63
3.75	999.63
3.76	999.63
3.77	999.64
3.77	999.64
3.78	999.64
3.79	999.64
3.80	999.64
3.81	999.64
3.81	999.64
3.82	999.64
3.83	999.64
3.84	999.64
3.85	999.64
3.85	999.64
3.86	999.64
3.87	999.65
3.88	999.65
3.89	999.65
3.89	999.65
3.90	999.65
3.91	999.65
3.92	999.65
3.93	999.65
3.93	999.65
3.94	999.65
3.95	999.65
3.96	999.65
3.97	999.65
3.97	999.66
3.98	999.66
3.99	999.66
4.00	999.66
4.01	999.66
4.01	999.66
4.02	999.66
4.03	999.66
4.04	999.66
4.05	999.66
4.05	999.66
4.06	999.66
4.07	999.66
4.08	999.66
4.09	999.66
4.09	999.67
4.10	999.67
4.11	999.67
4.12	999.67
4.13	999.67
4.13	999.67
4.14	999.67
4.15	999.67
4.16	999.67
4.17	999.67
4.17	999.67
4.18	999.67
4.19	999.67
4.20	999.67
4.21	999.67
4.21	999.68
4.22	999.68
4.23	999.68
4.24	999.68
4.25	999.68
4.25	999.68
4.26	999.68
4.27	999.68
4.28	999.68
4.29	999.68
4.29	999.68
4.30	999.68
4.31	999.68
4.32	999.68
4.33	999.68
4.33	999.68
4.34	999.69
4.35	999.69
4.36	999.69
4.37	999.69
4.37	999.69
4.38	999.69
4.39	999.69
4.40	999.69
4.41	999.69
4.41	999.69
4.42	999.69
4.43	999.69
4.44	999.69
4.45	999.69
4.45	999.69
4.46	999.69
4.47	999.69
4.48	999.69
4.49	999.70
4.49	999.70
4.50	999.70
4.51	999.70
4.52	999.70
4.53	999.70
4.53	999.70
4.54	999.70
4.55	999.70
4.56	999.70
4.57	999.70
4.57	999.70
4.58	999.70
4.59	999.70
4.60	999.70
4.61	999.70
4.61	999.70
4.62	999.70
4.63	999.71
4.64	999.71
4.65	999.71
4.65	999.71
4.66	999.71
4.67	999.71
4.68	999.71
4.69	999.71
4.69	999.71
4.70	999.71
4.71	999.71
4.72	999.71
4.73	999.71
4.73	999.71
4.74	999.71
4.75	999.71
4.76	999.71
4.77	999.71
4.77	999.71
4.78	999.71
4.79	999.72
4.80	999.72
4.81	999.72
4.81	999.72
4.82	999.72
4.83	999.72
4.84	999.72
4.85	999.72
4.85	999.72
4.86	999.72
4.87	999.72
4.88	999.72
4.89	999.72
4.89	999.72
4.90	999.72
4.91	999.72
4.92	999.72
4.93	999.72
4.93	999.72
4.94	999.72
4.95	999.72
4.96	999.73
4.97	999.73
4.97	999.73
4.98	999.73
4.99	999.73
5.00	999.73
5.01	999.73
5.01	999.73
5.02	999.73
5.03	999.73
5.04	999.73
5.05	999.73
5.05	999.73
5.06	999.73
5.07	999.73
5.08	999.73
5.09	999.73
5.09	999.73
5.10	999.73
5.11	999.73
5.12	999.73
5.13	999.73
5.13	999.73
5.14	999.74
5.15	999.74
5.16	999.74
5.17	999.74
5.17	999.74
5.18	999.74
5.19	999.74
5.20	999.74
5.21	999.74
5.21	999.74
5.22	999.74
5.23	999.74
5.24	999.74
5.25	999.74
5.25	999.74
5.26	999.74
5.27	999.74
5.28	999.74
5.29	999.74
5.29	999.74
5.30	999.74
5.31	999.74
5.32	999.74
5.33	999.74
5.33	999.74
5.34	999.75
5.35	999.75
5.36	999.75
5.37	999.75
5.37	999.75
5.38	999.75
5.39	999.75
5.40	999.75
5.41	999.75
5.41	999.75
5.42	999.75
5.43	999.75
5.44	999.75
5.45	999.75
5.45	999.75
5.46	999.75
5.47	999.75
5.48	999.75
5.49	999.75
5.49	999.75
5.50	999.75
5.51	999.75
5.52	999.75
5.53	999.75
5.53	999.75
5.54	999.75
5.55	999.76
5.56	999.76
5.57	999.76
5.57	999.76
5.58	999.76
5.59	999.76
5.60	999.76
5.61	999.76
5.61	999.76
5.62	999.76
5.63	999.76
5.64	999.76
5.65	999.76
5.65	999.76
5.66	999.76
5.67	999.76
5.68	999.76
5.69	999.76
5.69	999.76
5.70	999.76
5.71	999.76
5.72	999.76
5.73	999.76
5.73	999.76
5.74	999.76
5.75	999.76
5.76	999.76
5.77	999.76
5.77	999.76
5.78	999.77
5.79	999.77
5.80	999.77
5.81	999.77
5.81	999.77
5.82	999.77
5.83	999.77
5.84	999.77
5.85	999.77
5.85	999.77
5.86	999.77
5.87	999.77
5.88	999.77
5.89	999.77
5.89	999.77
5.90	999.77
5.91	999.77
5.92	999.77
5.93	999.77
5.93	999.77
5.94	999.77
5.95	999.77
5.96	999.77
5.97	999.77
5.97	999.77
5.98	999.77
5.99	999.77
6.00	999.77
6.01	999.77
6.01	999.77
6.02	999.77
6.03	999.77
6.04	999.78
6.05	999.78
6.05	999.78
6.06	999.78
6.07	999.78
6.08	999.78
6.09	999.78
6.09	999.78
6.10	999.78
6.11	999.78
6.12	999.78
6.13	999.78
6.13	999.78
6.14	999.78
6.15	999.78
6.16	999.78
6.17	999.78
6.17	999.78
6.18	999.78
6.19	999.78
6.20	999.78
6.21	999.78
6.21	999.78
6.22	999.78
6.23	999.78
6.24	999.78
6.25	999.78
6.25	999.78
6.26	999.78
6.27	999.78
6.28	999.78
6.29	999.78
6.29	999.78
6.30	999.78
6.31	999.79
6.32	999.79
6.33	999.79
6.33	999.79
6.34	999.79
6.35	999.79
6.36	999.79
6.37	999.79
6.37	999.79
6.38	999.79
6.39	999.79
6.40	999.79
6.41	999.79
6.41	999.79
6.42	999.79
6.43	999.79
6.44	999.79
6.45	999.79
6.45	999.79
6.46	999.79
6.47	999.79
6.48	999.79
6.49	999.79
6.49	999.79
6.50	999.79
6.51	999.79
6.52	999.79
6.53	999.79
6.53	999.79
6.54	999.79
6.55	999.79
6.56	999.79
6.57	999.79
