0.11	0.00
0.12	1000.00
0.13	1000.00
0.14	923.08
0.15	941.18
0.16	952.38
0.16	960.00
0.17	965.52
0.18	941.18
0.19	947.37
0.20	975.61
0.20	977.78
0.21	979.59
0.22	962.96
0.23	965.52
0.24	983.61
0.24	984.62
0.25	985.51
0.26	986.30
0.27	974.36
0.28	975.61
0.28	988.24
0.29	988.76
0.30	989.25
0.31	979.59
0.32	980.39
0.32	990.48
0.33	990.83
0.34	991.15
0.35	991.45
0.36	975.61
0.37	976.38
0.37	992.25
0.38	977.78
0.39	985.51
0.39	1000.00
0.41	979.59
0.41	986.67
0.42	993.46
0.43	993.63
0.44	993.79
0.45	982.04
0.46	982.46
0.46	994.22
0.47	983.24
0.48	989.01
0.48	1000.00
0.50	984.29
0.50	989.69
0.51	994.92
0.52	985.22
0.52	995.12
0.54	967.44
0.55	968.04
0.56	977.38
0.56	986.55
0.57	982.46
0.58	982.76
0.58	991.45
0.59	995.78
0.60	987.65
0.60	995.92
0.62	988.05
0.62	992.13
0.63	1000.00
0.64	988.59
0.64	996.23
0.65	996.28
0.66	996.34
0.67	992.81
0.68	989.40
0.68	996.49
0.70	989.69
0.70	993.20
0.71	1000.00
0.72	990.10
0.72	996.72
0.74	990.35
0.74	993.63
0.75	1000.00
0.77	981.60
0.77	981.82
0.78	987.95
0.78	994.01
0.79	991.15
0.80	991.25
0.80	997.10
0.82	991.45
0.82	994.35
0.83	1000.00
0.84	991.74
0.84	997.26
0.86	991.91
0.86	994.65
0.87	1000.00
0.88	997.38
0.88	997.40
0.90	992.33
0.90	994.92
0.91	1000.00
0.92	992.56
0.92	997.53
0.94	992.70
0.94	995.17
0.95	1000.00
0.96	992.91
0.96	997.65
0.98	983.91
0.99	984.05
1.00	988.66
1.00	993.23
1.01	991.07
1.02	991.15
1.02	995.59
1.03	997.81
1.04	993.52
1.04	997.85
1.06	993.63
1.06	995.78
1.07	1000.00
1.08	993.79
1.08	997.94
1.09	997.96
1.10	997.97
1.11	995.98
1.12	994.04
1.12	998.02
1.14	994.13
1.14	996.11
1.15	1000.00
1.16	994.26
1.16	998.10
1.18	994.35
1.18	996.25
1.19	1000.00
1.20	994.48
1.21	996.34
1.21	1000.00
1.22	994.59
1.23	998.20
1.24	992.91
1.25	994.71
1.25	998.24
1.26	994.78
1.27	996.54
1.27	1000.00
1.29	994.89
1.29	996.61
1.30	1000.00
1.31	998.32
1.32	998.34
1.33	993.42
1.34	995.09
1.34	998.37
1.35	995.15
1.36	996.78
1.36	1000.00
1.38	995.25
1.38	996.85
1.39	1000.00
1.40	995.33
1.40	998.45
1.42	989.31
1.43	989.38
1.44	992.44
1.44	995.48
1.45	994.01
1.46	994.05
1.46	997.03
1.47	998.52
1.48	995.61
1.48	998.54
1.50	995.66
1.50	997.12
1.51	1000.00
1.52	995.73
1.52	998.58
1.53	998.59
1.54	998.60
1.55	997.21
1.56	995.85
1.56	998.62
1.58	995.90
1.58	997.28
1.59	1000.00
1.60	995.96
1.60	998.66
1.62	996.01
1.62	997.35
1.63	1000.00
1.65	992.17
1.65	992.21
1.66	994.82
1.66	997.42
1.67	996.15
1.68	996.17
1.68	998.73
1.70	996.21
1.70	997.48
1.71	1000.00
1.72	996.26
1.72	998.76
1.74	996.30
1.74	997.54
1.75	1000.00
1.76	998.78
1.76	998.79
1.78	996.39
1.78	997.60
1.79	1000.00
1.80	996.44
1.80	998.82
1.82	996.47
1.82	997.66
1.83	1000.00
1.84	996.52
1.84	998.84
1.86	992.00
1.87	992.04
1.88	994.32
1.88	996.60
1.89	995.50
1.90	995.52
1.90	997.76
1.91	998.89
1.92	996.68
1.92	998.90
1.94	996.71
1.94	997.81
1.95	1000.00
1.96	996.75
1.96	998.92
1.97	998.92
1.98	998.93
1.99	997.87
2.00	996.82
2.00	998.94
2.02	996.85
2.02	997.90
2.03	995.83
2.04	996.88
2.04	998.96
2.06	995.88
2.06	997.95
2.08	991.87
2.09	991.90
2.09	993.94
2.10	995.97
2.11	994.98
2.12	995.00
2.12	997.01
2.13	998.01
2.14	996.05
2.14	998.03
2.15	996.08
2.16	997.07
2.16	999.02
2.18	996.12
2.18	998.07
2.19	998.07
2.20	998.08
2.21	997.13
2.22	996.20
2.22	998.10
2.23	996.23
2.24	997.18
2.24	999.06
2.26	996.27
2.26	998.14
2.27	996.30
2.28	997.23
2.28	999.08
2.30	993.61
2.31	993.63
2.32	995.46
2.32	997.28
2.33	996.39
2.34	996.40
2.34	998.20
2.35	996.43
2.36	997.33
2.36	999.11
2.38	996.47
2.38	998.24
2.39	996.49
2.40	997.38
2.40	999.13
2.41	998.26
2.42	998.27
2.43	996.55
2.44	997.42
2.44	999.14
2.46	996.59
2.46	998.30
2.47	996.61
2.48	997.46
2.48	999.16
2.50	996.64
2.50	998.32
2.52	995.01
2.52	995.85
2.53	997.51
2.53	999.17
2.55	996.71
2.55	998.36
2.56	996.73
2.57	997.56
2.57	999.19
2.59	996.76
2.59	998.38
2.60	999.19
2.60	999.20
2.61	999.20
2.63	996.82
2.63	998.41
2.64	996.84
2.65	997.63
2.65	999.21
2.67	996.87
2.67	998.44
2.68	996.88
2.69	997.67
