0.12	0.00	0.00
0.13	438.60	0.02
0.15	415.80	0.04
0.16	495.05	0.05
0.17	587.37	0.05
0.18	601.68	0.07
0.20	596.42	0.08
0.20	678.95	0.08
0.22	624.51	0.10
0.22	689.13	0.10
0.22	751.31	0.11
0.22	886.52	0.09
0.23	1111.11	0.07
0.26	869.57	0.09
0.26	909.09	0.09
0.26	1025.64	0.08
0.26	1212.12	0.07
0.26	1212.12	0.07
0.27	1666.67	0.05
0.30	1052.63	0.08
0.30	1052.63	0.08
0.30	1052.63	0.08
0.30	1052.63	0.08
0.30	1666.67	0.05
0.33	1142.86	0.07
0.33	1142.86	0.07
0.33	1142.86	0.07
0.33	1142.86	0.07
0.34	1142.86	0.07
0.36	1212.12	0.07
0.36	1212.12	0.07
0.37	1212.12	0.07
0.37	1212.12	0.07
0.37	1212.12	0.07
0.40	1081.08	0.07
0.40	1081.08	0.07
0.41	1081.08	0.07
0.41	1081.08	0.07
0.41	1081.08	0.07
0.44	1081.08	0.07
0.44	1081.08	0.07
0.44	1081.08	0.07
0.44	1081.08	0.07
0.44	1081.08	0.07
0.47	1176.47	0.07
0.47	1176.47	0.07
1.69	62.31	1.28
1.69	62.31	1.28
1.69	62.31	1.28
1.70	63.49	1.26
1.70	63.49	1.26
1.71	62.79	1.27
1.72	62.79	1.27
1.72	62.79	1.27
1.72	64.00	1.25
1.72	64.00	1.25
1.72	2352.94	0.03
1.73	2352.94	0.03
1.73	2352.94	0.03
1.76	1250.00	0.06
1.76	1250.00	0.06
1.76	1600.00	0.05
1.77	1600.00	0.05
1.77	1600.00	0.05
1.99	296.30	0.27
2.01	281.69	0.28
2.04	256.41	0.31
2.04	256.41	0.31
2.06	243.90	0.33
2.07	256.41	0.31
2.09	245.40	0.33
2.10	235.29	0.34
2.12	225.99	0.35
2.14	217.39	0.37
2.15	493.83	0.16
2.17	487.80	0.16
2.17	588.24	0.14
2.19	526.32	0.15
2.22	493.83	0.16
2.22	540.54	0.15
2.24	533.33	0.15
2.25	540.54	0.15
2.25	597.01	0.13
2.27	588.24	0.14
2.27	655.74	0.12
2.29	666.67	0.12
2.29	666.67	0.12
2.31	666.67	0.12
2.31	851.06	0.09
